lesson_id,lesson_title,video_base_url
001,"Γενικές σχέσεις Μεκ Α ,Β και Β1.Στο μάθημα υπάρχει και βίντεο από τις αναλογίες και τα ποσοστά",https://youtu.be/intArAnoPLA
002,Όλες οι περιπτώσεις ΜΕΚ.Οι ασκήσεις υπάρχουν στον αρχικό κατάλογο 8.,https://youtu.be/jz5tKJooXAA
003,Άσκηση 5.45 σχολικού στη σελίδα 182. Υπολογισμός θερμότητας στη διάρκεια του φαινομένου. Στα έγγραφα του μαθήματος υπάρχει και το σχολικό της Γ Λυκείου(Γ τεύχος) .,https://youtu.be/QgeOawsUnsE
004,Άσκηση 2.150 Παν που αφορά κρούση και μετατόπιση με τριβή και οριζόντιο ελατήριο. Υπάρχουν Φωτοτυπίες από το βοήθημα του Παναγιωτακόπουλου της Γ Λυκείου στο κεφάλαιο των κρούσεων.,https://youtu.be/Ybg27FGW7og
006,Άσκηση 56 Παν. old( υπάρχει η φωτοτυπία) που αφορά κατακόρυφο ελατήριο στερεωμένο στην οροφή.Επίσης ανέβασα την 2.216 (απορία).Υπάρχει και η φωτοτυπία από τις εκφωνήσεις των ασκήσεων.,https://youtu.be/A7Ut7TmSzO4
007,Άσκηση 57 Παν old που αφορά κατακόρυφο ελατήριο στερεωμένο στο δάπεδο.,https://youtu.be/_2Z9XwOIPWA
008,Είναι η άσκηση 5.48 του σχολικού στη σελίδα 182 που αφορά πλάγιο ελατήριο.,https://youtu.be/RT1_LzTDeEU
009,Είναι η ερώτηση ανοιχτού τύπου 2.91 Παν στην οποία εφαρμόζουμε τη μεθοδολογίας για τις ΜΕΚ . Ιδιαίτερη προσοχή στη σύγκριση των μέτρων των ταχυτήτων όταν πρόκειται να υπάρξει και τρίτη κρούση,https://youtu.be/jZNsNRdbEMM
010,Άσκηση 5.29 του σχολικού. Είναι η άσκησή που αναφέρουμε τη μεθοδολογία στις πλάγιες κρούσεις και εφαρμόζουμε την ΑΔΟ σε κάθε άξονα.,https://youtu.be/fSSPGO8KrVc
011,"Άσκηση 2.135 ,αφορά πλάγια κρούση σε κάτοψη στην οποία φαίνεται η μεθοδολογία μας στην ανάλυση των ταχυτήτων σε κατάλληλους άξονες και εφαρμογή της ΑΔΟ ανά άξονα.",https://youtu.be/b3DmlFjFeDY
011β,Πλάγια κρούση σε κάτοψη — συμπληρωματικό βίντεο της άσκησης 2.263,https://youtu.be/_8k7ldN98oc
012,"Ασκήσεις 2.245 Πάν. ( και 2.260 για το αντίστροφο).Επίσης και η 2,128 (απορία).",https://youtu.be/v3yHazyIM2U
